User Language,"Are you a Smart Home Personal Assistant (SPA) user or owner, e.g., Amazon Echo or Google Home?",Which SPA do you use? (Check all that apply) - Selected Choice,Which SPA do you use? (Check all that apply) - Other - Text,How long have you been using it?,Would you consider using it in the future?,Please choose from the following why you would consider owing or buying a smart speaker/assistant in the future: Select all options that apply - Selected Choice,Please choose from the following why you would consider owing or buying a smart speaker/assistant in the future: Select all options that apply - Other - Text,Please choose from the following why you may NOT wish to use a Smart Home Personal Assistants in the future: Select all options that apply - Selected Choice,Please choose from the following why you may NOT wish to use a Smart Home Personal Assistants in the future: Select all options that apply - Other - Text,Age,Employment Status,Gender identity,Highest education level completed,Internet enabled products,Student Status,Technology use at work
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,45,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,Undergraduate degree (BA/BSc/other),"Smart TV (e.g. Samsung, LG, JVC)",No,less than once a week
EN-GB,Yes,Google Home,,"2 Years
",,,,,,35,Full-Time,Female,Undergraduate degree (BA/BSc/other),"Video streaming product (e.g. AppleTV, chromecast)",No,4 or 6 times a week
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,41,Full-Time,Female,Graduate degree (MA/MSc/MPhil/other),"Baby camera/monitor (e.g. Withings Smart Baby Monitor, Motorola Baby Monitor Camera)",No,about once a day
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,23,Unemployed (and job seeking),Male,Undergraduate degree (BA/BSc/other),"Video streaming product (e.g. AppleTV, chromecast)",Yes,4 or 6 times a week
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,35,Full-Time,Male,Technical/community college,"Smart TV (e.g. Samsung, LG, JVC), Smart Thermostat (e.g. Nest, Hive, tadoi), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,21,Unemployed (and job seeking),Male,Undergraduate degree (BA/BSc/other),"Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",Yes,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,31,Part-Time,Female,Graduate degree (MA/MSc/MPhil/other),"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Games console (e.g. PS4, Xbox one), Smart TV (e.g. Samsung, LG, JVC), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Baby camera/monitor (e.g. Withings Smart Baby Monitor, Motorola Baby Monitor Camera), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Connected printers (e.g. WiFi)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,"2 Years
",,,,,,32,Full-Time,Male,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Smart watch (e.g. Apple watch, Samsung gear, Moto 360, Asus ZenWatch), Connected lights (e.g. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,1 Year,,,,,,19,Part-Time,Female,High school diploma/A-levels,"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart doorlock and/or doorbell (e.g. August Smartlock, Danalock, Ring smart doorbell), Grocery ordering (e.g. Amazon dash buttons, Hiku, GeniCan), Smart smoke monitors and alarms (e.g. Kepler, Birdi), Smart kitchen appliances (e.g. Fridge, oven, kettle, scales, vacuum cleaner)",Yes,not at all
EN-GB,Yes,Google Home,,4 or more years ,,,,,,30,Full-Time,Male,Undergraduate degree (BA/BSc/other),"Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Smart Thermostat (e.g. Nest, Hive, tadoi), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Video streaming product (e.g. AppleTV, chromecast), Smart plugs (e.g. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch), Smart security camera (e.g. Nest Cam, Netatmo, Netgear Arlo), Smart health monitors excluding smart watches (e.g. scales, blood pressure monitors), Smart smoke monitors and alarms (e.g. Kepler, Birdi)",No,more than once a day
EN-GB,Yes,Amazon Echo/Alexa,,3 Years ,,,,,,36,Full-Time,Female,Graduate degree (MA/MSc/MPhil/other),"Smart TV (e.g. Samsung, LG, JVC), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home)",No,about once a week
EN-GB,Yes,Amazon Echo/Alexa,,Less than a year ago,,,,,,26,Part-Time,Female,High school diploma/A-levels,"Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Activity tracker excluding smart watches (e.g. Fitbit, Xiaomi Mi Band, Microsoft band), Video streaming product (e.g. AppleTV, chromecast), Games console (e.g. PS4, Xbox one)",No,4 or 6 times a week
EN-GB,Yes,Google Home,,"2 Years
",,,,,,58,Part-Time,Female,Secondary education (e.g. GED/GCSE),"Smart TV (e.g. Samsung, LG, JVC), Games console (e.g. PS4, Xbox one), Home assistants/smart hub (e.g. Amazon echo, CastleHub, Google Home), Connected printers (e.g. WiFi)",No,2 or 3 times a week
